raw_spelling,record_count,source_files,is_job_entry,notes
"chasse building team - filmore ph 1 - high street residential.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - rsd.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - creighton elementary school demolition.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - canyon trails.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - ottawa university.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - bylas headstar building.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - ec s ellsworth & e chandler heights rd.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - asu poly central plant.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - pascua yaqui guadalupe.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - higley high school addition.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - west-mec southeat campus.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - evit foster building.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - goodyear civic square.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - tumbleweed rec center expansion (2).pdf",1,"certs_2025_all.csv",YES,
"chasse building team - creighton elementary school demolition (2).pdf",1,"certs_2025_all.csv",YES,
"chasse building team - msd-madison park rebuild.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - goodyear civic square (2).pdf",1,"certs_2025_all.csv",YES,
"chasse building team - rsd - co greenfield ms replacement.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - pcds new music building.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - mit classroom addition ph iii.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - bylas headstart building.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - pcds parking lot upgrades (2).pdf",1,"certs_2025_all.csv",YES,
"chasse building team - afuhsd (2).pdf",1,"certs_2025_all.csv",YES,
"chasse building team - community center & aquatics facility construction.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - city of maricopa recreation gymfield house.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - ottawa university residence hall.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - filmore ph1 - high street residential.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - musd new model school.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - co greenfield es reimagination (2).pdf",1,"certs_2025_all.csv",YES,
"chasse building team - canyon trails (2).pdf",1,"certs_2025_all.csv",YES,
"chasse building team - sunland academy replacement.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - evit park parking lot.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - higley highschool addition.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - agua fria high school.pdf",1,"certs_2025_all.csv",YES,
"chasse building team - co greenfield es reimagination.pdf",1,"certs_2025_all.csv",YES,
"chasse pulled the meter themselves",1,"excel_swppp_bv.csv",YES,
"chasse in the water truck for 2 hours) and (daniel was doing labor for 1 hour) (daniel thinks we gave them pricing for this job) (complete",1,"excel_swppp_bv.csv",YES,
"daniel and chasse) (will need to find out how much we paid for renting the water tower each month) (continue",1,"excel_swppp_bv.csv",YES,
"chasse was in the water truck for 1 hour)  (4 men 4.75 hours) jair, jr, jesus, rudy) (and (4 men 30 minutes) (joel, alfred, steven, dominic) (complete",1,"excel_swppp_bv.csv",YES,
"mike and chasse were doing labor for 2.5 hours)  2. delivery of 22.90 tons  of track out rock (abc ticket",1,"excel_swppp_bv.csv",YES,
"chasse, domonic) (complete",1,"excel_swppp_bv.csv",YES,
"dust permit for chasse",1,"excel_swppp_bv.csv",YES,
"chasse) (complete",1,"excel_swppp_bv.csv",YES,
"chasse, travis) (complete",1,"excel_swppp_bv.csv",YES,
