name_a,name_b,records_a,records_b,total_records,merge_reason,confidence
core construction 23-01-023,core construction job 23-01-027,1,1,2,high_similarity,MEDIUM
core construction job 1-23-01-019,core construction job 22-01-009,1,1,2,abbreviation_variation,MEDIUM
core construction job 1-23-01-019,core construction job 23-01-006,1,1,2,abbreviation_variation,MEDIUM
core construction job 1-23-01-019,core construction job 23-01-022,1,1,2,abbreviation_variation,MEDIUM
core construction job 1-23-01-019,core construction job 23-01-027,1,1,2,abbreviation_variation,MEDIUM
core construction job 1-23-01-019,core construction job 23-02-001,1,1,2,abbreviation_variation,MEDIUM
core construction job 1-23-01-019,core construction job 24-01-012,1,1,2,abbreviation_variation,MEDIUM
core construction job 1-23-01-019,core construction job 24-01-016,1,1,2,abbreviation_variation,MEDIUM
core construction job 1-23-01-019,core construction job 24-01-017,1,1,2,abbreviation_variation,MEDIUM
core construction job 1-23-01-019,core construction job 25-01-010,1,1,2,abbreviation_variation,MEDIUM
core construction job 1-23-01-181,core construction job 23-01-017,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-004,core construction job 23-01-017,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-004,core construction job 23-01-022,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-004,core construction job 23-01-027,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-004,core construction job 24-01-012,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-004,core construction job 24-01-016,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-004,core construction job 24-01-017,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-004,core construction job 24-01-026,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-004,core construction job 25-01-019,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-004,core construction job 25-04-005,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-009,core construction job 23-01-017,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-009,core construction job 23-01-022,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-009,core construction job 23-01-027,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-009,core construction job 24-01-012,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-009,core construction job 24-01-016,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-009,core construction job 24-01-017,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-009,core construction job 24-01-026,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-009,core construction job 25-04-005,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-022,core construction job 23-01-006,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-022,core construction job 23-01-017,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-022,core construction job 2301025,1,1,2,high_similarity,MEDIUM
core construction job 22-01-022,core construction job 24-01-004,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-022,core construction job 24-01-016,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-022,core construction job 24-01-017,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-022,core construction job 25-01-010,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-022,core construction job 25-01-019,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-023,core construction job 22-04-222,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-023,core construction job 23-01-006,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-023,core construction job 23-01-017,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-023,core construction job 2301025,1,1,2,high_similarity,MEDIUM
core construction job 22-01-023,core construction job 24-01-004,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-023,core construction job 24-01-016,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-023,core construction job 24-01-017,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-023,core construction job 25-01-010,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-023,core construction job 25-01-019,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-030,core construction job 23-01-017,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-030,core construction job 23-01-022,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-030,core construction job 23-01-027,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-030,core construction job 24-01-012,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-030,core construction job 24-01-016,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-030,core construction job 24-01-017,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-030,core construction job 24-01-026,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-030,core construction job 25-01-019,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-01-030,core construction job 25-04-005,1,1,2,abbreviation_variation,MEDIUM
core construction job 22-04-222,core construction job 23-01-022,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-01-006,core construction job 2301025,1,1,2,high_similarity,MEDIUM
core construction job 23-01-006,core construction job 24-01-012,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-01-006,core construction job 24-01-017,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-01-006,core construction job 24-02-001,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-01-006,core construction job 25-01-019,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-01-006,core construction job 25-04-005,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-01-017,core construction job 2301025,1,1,2,high_similarity,MEDIUM
core construction job 23-01-017,core construction job 24-01-004,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-01-017,core construction job 24-01-026,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-01-017,core construction job 24-02-001,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-01-017,core construction job 25-01-002,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-01-017,core construction job 32-01-020,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-01-022,core construction job 23-02-001,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-01-022,core construction job 24-01-004,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-01-022,core construction job 24-01-016,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-01-022,core construction job 24-01-017,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-01-022,core construction job 25-01-010,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-01-022,core construction job 25-01-019,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-01-027,core construction job 23-02-001,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-01-027,core construction job 24-01-004,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-01-027,core construction job 24-01-016,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-01-027,core construction job 25-01-010,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-01-027,core construction job 25-01-019,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-02-001,core construction job 24-01-004,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-02-001,core construction job 24-01-012,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-02-001,core construction job 24-01-016,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-02-001,core construction job 24-01-017,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-02-001,core construction job 25-01-002,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-02-001,core construction job 25-01-010,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-02-001,core construction job 25-01-019,1,1,2,abbreviation_variation,MEDIUM
core construction job 23-02-001,core construction job 25-04-005,1,1,2,abbreviation_variation,MEDIUM
core construction job 2301025,core construction job 24-01-012,1,1,2,high_similarity,MEDIUM
core construction job 2301025,core construction job 24-01-026,1,1,2,high_similarity,MEDIUM
core construction job 2301025,core construction job 25-01-002,1,1,2,high_similarity,MEDIUM
core construction job 2301025,core construction job 32-01-020,1,1,2,high_similarity,MEDIUM
core construction job 24-01-004,core construction job 24-04-168005,1,1,2,high_similarity,MEDIUM
core construction job 24-01-004,core construction job 25-01-019,1,1,2,abbreviation_variation,MEDIUM
core construction job 24-01-016,core construction job 24-04-168005,1,1,2,high_similarity,MEDIUM
core construction job 24-01-016,core construction job 25-01-002,1,1,2,abbreviation_variation,MEDIUM
core construction job 24-01-016,core construction job 32-01-020,1,1,2,abbreviation_variation,MEDIUM
core construction job 24-01-017,core construction job 25-01-002,1,1,2,abbreviation_variation,MEDIUM
core construction job 24-01-017,core construction job 32-01-020,1,1,2,abbreviation_variation,MEDIUM
core construction job 24-01-026,core construction job 24-02-001,1,1,2,abbreviation_variation,MEDIUM
core construction job 24-01-026,core construction job 25-01-010,1,1,2,abbreviation_variation,MEDIUM
core construction job 24-01-026,core construction job 25-01-019,1,1,2,abbreviation_variation,MEDIUM
core construction job 24-02-001,core construction job 24-04-168005,1,1,2,high_similarity,MEDIUM
core construction job 24-02-001,core construction job 2404209,1,1,2,high_similarity,MEDIUM
core construction job 24-02-001,core construction job 25-01-002,1,1,2,abbreviation_variation,MEDIUM
core construction job 24-02-001,core construction job 25-01-010,1,1,2,abbreviation_variation,MEDIUM
core construction job 24-02-001,core construction job 25-01-019,1,1,2,abbreviation_variation,MEDIUM
core construction job 25-01-019,core construction job 25-04-005,1,1,2,abbreviation_variation,MEDIUM
core construction job 25-01-019,core construction job 32-01-020,1,1,2,abbreviation_variation,MEDIUM
core construction job 25-04-005,core construction job 32-01-020,1,1,2,abbreviation_variation,MEDIUM
dluzan scott,dluzen scott,1,1,2,abbreviation_variation,MEDIUM
fpem inc first priority po 120001mg06000070,fpem inc first priority po 140064mg06000098,1,1,2,high_similarity,MEDIUM
guardian civil contracting llc po 23003-05,guardian civil contracting llc po 23018-11,1,1,2,abbreviation_variation,MEDIUM
guardian civil contracting llc po 23003-05,guardian civil contracting llc po 2500201,1,1,2,abbreviation_variation,MEDIUM
guardian civil contracting llc po 23008-07,guardian civil contracting llc po 24011-05,1,1,2,abbreviation_variation,MEDIUM
guardian civil contracting llc po 23008-07,guardian civil contracting llc po 2500201,1,1,2,abbreviation_variation,MEDIUM
guardian civil contracting llc po 23018-11,guardian civil contracting llc po 24008-07,1,1,2,abbreviation_variation,MEDIUM
guardian civil contracting llc po 23018-11,guardian civil contracting llc po 24011-05,1,1,2,abbreviation_variation,MEDIUM
guardian civil contracting llc po 23018-11,guardian civil contracting llc po 2500201,1,1,2,high_similarity,MEDIUM
guardian civil contracting llc po 23018-11,guardian civil contracting llc pos 23003-05,1,1,2,high_similarity,MEDIUM
guardian civil contracting llc po 24008-07,guardian civil contracting llc po 2500201,1,1,2,abbreviation_variation,MEDIUM
guardian civil contracting llc po 24008-07,guardian civil contracting llc pos 23003-05,1,1,2,abbreviation_variation,MEDIUM
guardian civil contracting llc po 24011-05,guardian civil contracting llc po 2500201,1,1,2,high_similarity,MEDIUM
guardian civil contracting llc po 24011-05,guardian civil contracting llc pos 23003-05,1,1,2,abbreviation_variation,MEDIUM
guardian civil contracting llc po 2500201,guardian civil contracting llc pos 23003-05,1,1,2,abbreviation_variation,MEDIUM
haydon building corp job 50-0090-00,haydon building corp job 50-0102-01,1,1,2,abbreviation_variation,MEDIUM
hoidal tom,hoilal tom,1,1,2,high_similarity,MEDIUM
j kopras homes,kopras home,1,1,2,with_without_suffix,MEDIUM
markham contracting job 4669,markham contracting job 90691,1,1,2,abbreviation_variation,MEDIUM
markham contracting job 4669,markham contracting job 94673,1,1,2,abbreviation_variation,MEDIUM
markham contracting job 4862,markham contracting job 94673,1,1,2,abbreviation_variation,MEDIUM
markham contracting job 4862,markham contracting job 95442,1,1,2,abbreviation_variation,MEDIUM
markham contracting job 90691,markham contracting job 94673,1,1,2,high_similarity,MEDIUM
markham contracting job 94673,markham contracting job 95442,1,1,2,high_similarity,MEDIUM
mike maguire,mike miguire,1,1,2,abbreviation_variation,MEDIUM
rytan job 22-100-11wants job name address on invoice,rytan job 23112-12wants job name address on invoice,1,1,2,abbreviation_variation,MEDIUM
sun land asphalt po 203144,sun land asphalt po 39140,1,1,2,abbreviation_variation,MEDIUM
sun land asphalt po 203144,sun land asphalt po 39445,1,1,2,abbreviation_variation,MEDIUM
sun land asphalt po 203144,sun land asphalt po 39447,1,1,2,abbreviation_variation,MEDIUM
sun land asphalt po 31082,sun land asphalt po 39140,1,1,2,abbreviation_variation,MEDIUM
sun land asphalt po 35671,sun land asphalt po 36337,1,1,2,abbreviation_variation,MEDIUM
sun land asphalt po 35671,sun land asphalt po 38637,1,1,2,abbreviation_variation,MEDIUM
sun land asphalt po 35671,sun land asphalt po 39871,1,1,2,abbreviation_variation,MEDIUM
sun land asphalt po 3569901,sun land asphalt po 36492,1,1,2,high_similarity,MEDIUM
sun land asphalt po 3569901,sun land asphalt po 37592,1,1,2,high_similarity,MEDIUM
sun land asphalt po 3569901,sun land asphalt po 38050,1,1,2,high_similarity,MEDIUM
sun land asphalt po 3569901,sun land asphalt po 39140,1,1,2,high_similarity,MEDIUM
sun land asphalt po 3569901,sun land asphalt po 39871,1,1,2,high_similarity,MEDIUM
sun land asphalt po 36492,sun land asphalt po 37592,1,1,2,abbreviation_variation,MEDIUM
sun land asphalt po 38637,sun land asphalt po 39871,1,1,2,abbreviation_variation,MEDIUM
sun land asphalt po 39140,sun land asphalt po 39445,1,1,2,abbreviation_variation,MEDIUM
sun land asphalt po 39140,sun land asphalt po 39447,1,1,2,abbreviation_variation,MEDIUM
sun land asphalt po 39140,sun land asphalt po 39871,1,1,2,abbreviation_variation,MEDIUM
sun land asphalt po 39140,sun land asphalt po 8283401,1,1,2,high_similarity,MEDIUM
sun land asphalt po 39447,sun land asphalt po 39871,1,1,2,abbreviation_variation,MEDIUM
sun land asphalt po 41099,sun land asphalt po 41520,1,1,2,abbreviation_variation,MEDIUM
tlw construction cor to enriqutlwconstructioncom,tlw construction cor to troytlwconstructioncom,1,1,2,abbreviation_variation,MEDIUM
tlw construction cor to enriqutlwconstructioncom,tlw construction job 23-146 cor to enriquetlwconstructioncom,1,1,2,high_similarity,MEDIUM
wespac construction job 1-21az01-089,wespac construction job 1-25az01-027,1,1,2,abbreviation_variation,MEDIUM
willmeng job 23-03-3721,willmeng job 23-07-3727,1,1,2,abbreviation_variation,MEDIUM
willmeng job 24-01-3857,willmeng job 24-02-3853,1,1,2,abbreviation_variation,MEDIUM
willmeng job 24-01-3857,willmeng job 24-02-3897,1,1,2,abbreviation_variation,MEDIUM
willmeng job 24-02-3853,willmeng job 24-02-3897,1,1,2,abbreviation_variation,MEDIUM
willmeng job 25-03-3931,willmeng job 25-03-3950,1,1,2,abbreviation_variation,MEDIUM
willmeng job 25-03-3950,willmeng job 25-07-3920,1,1,2,abbreviation_variation,MEDIUM
