canonical_name,display_name,record_count,likely_full_name,action,should_merge_with,confidence,notes,related_entries
omada,OMADA,3,OMADA,KEEP,,LOW,Short name - verify legitimate abbreviation,None
pdi,PDI,3,PDI,KEEP,,LOW,Short name - verify legitimate abbreviation,None
png,PNG BUILDERS,3,PNG BUILDERS,KEEP,,LOW,Short name - verify legitimate abbreviation,None
pride,Pride Contracting,3,Pride Contracting,KEEP,,LOW,Short name - verify legitimate abbreviation,None
rasch,Rasch,3,Rasch,KEEP,,LOW,Short name - verify legitimate abbreviation,None
rsg,RSG Builders,3,RSG Builders,KEEP,,LOW,Short name - verify legitimate abbreviation,None
rytan,Rytan,3,Rytan,KEEP,,LOW,Short name - verify legitimate abbreviation,None
sdc,SDC Inc,3,SDC Inc,KEEP,,LOW,Short name - verify legitimate abbreviation,None
sundt,Sundt Construction,3,Sundt Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
vcc,VCC LLC,3,VCC LLC,KEEP,,LOW,Short name - verify legitimate abbreviation,None
waltz,Waltz Construction,3,Waltz Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
zdi,ZDI,3,ZDI,KEEP,,LOW,Short name - verify legitimate abbreviation,None
adra,Adra Contracting,2,Adra Contracting,KEEP,,LOW,Short name - verify legitimate abbreviation,None
aro,ARO Construction,2,ARO Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
boldt,Boldt,2,Boldt,KEEP,,LOW,Short name - verify legitimate abbreviation,None
boyd,Boyd Development,2,Boyd Development,KEEP,,LOW,Short name - verify legitimate abbreviation,None
cdo,CDO Group,2,CDO Group,KEEP,,LOW,Short name - verify legitimate abbreviation,None
crown,Crown Builders,2,Crown Builders,KEEP,,LOW,Short name - verify legitimate abbreviation,None
dakis,Dakis Contracting Inc,2,Dakis Contracting Inc,KEEP,,LOW,Short name - verify legitimate abbreviation,None
degan,Degan Construction,2,Degan Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
derek,Derek Builders,2,Derek Builders,KEEP,,LOW,Short name - verify legitimate abbreviation,None
dwa,DWA Construction Co,2,DWA Construction Co,KEEP,,LOW,Short name - verify legitimate abbreviation,None
edge,Edge Construction,2,Edge Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
esi,ESI,2,ESI,KEEP,,LOW,Short name - verify legitimate abbreviation,None
fd,FD Construction,2,FD Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
gj,G&J Development,2,G&J Development,KEEP,,LOW,Short name - verify legitimate abbreviation,None
hbi,HBI Construction,2,HBI Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
idm,IDM,2,IDM,KEEP,,LOW,Short name - verify legitimate abbreviation,None
jomax,Jomax Builders,2,Jomax Builders,KEEP,,LOW,Short name - verify legitimate abbreviation,None
joy,Joyco,2,Joyco,KEEP,,LOW,Short name - verify legitimate abbreviation,None
kalb,Kalb,2,Kalb,KEEP,,LOW,Short name - verify legitimate abbreviation,None
knipp,Knipp,2,Knipp,KEEP,,LOW,Short name - verify legitimate abbreviation,None
lloyd,Lloyd Construction Company,2,Lloyd Construction Company,KEEP,,LOW,Short name - verify legitimate abbreviation,None
lor,LOR Construction,2,LOR Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
marrs,Marrs,2,Marrs,KEEP,,LOW,Short name - verify legitimate abbreviation,None
mhm,MHM Builders,2,MHM Builders,KEEP,,LOW,Short name - verify legitimate abbreviation,None
mtv,MTV General Contractors,2,MTV General Contractors,KEEP,,LOW,Short name - verify legitimate abbreviation,None
neve,"Neve, LLC",2,"Neve, LLC",KEEP,,LOW,Short name - verify legitimate abbreviation,None
opus,OPUS,2,OPUS,KEEP,,LOW,Short name - verify legitimate abbreviation,None
path,Path Construction,2,Path Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
pence,Pence Construction,2,Pence Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
pwi,PWI,2,PWI,KEEP,,LOW,Short name - verify legitimate abbreviation,None
quest,Quest Development Construction,2,Quest Development Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
rapi,Rapi,2,Rapi,KEEP,,LOW,Short name - verify legitimate abbreviation,None
rsi,RSI Construction,2,RSI Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
ruben,Ruben Contracting,2,Ruben Contracting,KEEP,,LOW,Short name - verify legitimate abbreviation,None
rwb,RWB Construction Development,2,RWB Construction Development,KEEP,,LOW,Short name - verify legitimate abbreviation,None
ryan,Ryan,2,Ryan,KEEP,,LOW,Short name - verify legitimate abbreviation,None
sage,Sage,2,Sage,KEEP,,LOW,Short name - verify legitimate abbreviation,None
shaw,Shaw & Company,2,Shaw & Company,KEEP,,LOW,Short name - verify legitimate abbreviation,None
smart,"Smart Builders, LLC",2,"Smart Builders, LLC",KEEP,,LOW,Short name - verify legitimate abbreviation,None
tbl,TBL Group,2,TBL Group,KEEP,,LOW,Short name - verify legitimate abbreviation,None
twg,TWG Construction,2,TWG Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
ueb,UEB,2,UEB,KEEP,,LOW,Short name - verify legitimate abbreviation,None
us,US Development,2,US Development,KEEP,,LOW,Short name - verify legitimate abbreviation,None
venn,Venn Construction,2,Venn Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
way,Way Construction,2,Way Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
zona,Zona Builders,2,Zona Builders,KEEP,,LOW,Short name - verify legitimate abbreviation,None
3 r,3 R Construction Group,1,3 R Construction Group,KEEP,,LOW,Short name - verify legitimate abbreviation,None
a e,"A & E Builders, LLC",1,"A & E Builders, LLC",KEEP,,LOW,Short name - verify legitimate abbreviation,None
adot,ADOT,1,ADOT,KEEP,,LOW,Short name - verify legitimate abbreviation,None
ae,A&E Builders,1,A&E Builders,KEEP,,LOW,Short name - verify legitimate abbreviation,None
aft,AFT Construction,1,AFT Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
alloy,Alloy Corporation,1,Alloy Corporation,KEEP,,LOW,Short name - verify legitimate abbreviation,None
ameri,Americo Builders,1,Americo Builders,KEEP,,LOW,Short name - verify legitimate abbreviation,None
ap,A&P,1,A&P,KEEP,,LOW,Short name - verify legitimate abbreviation,None
aps,APS,1,APS,KEEP,,LOW,Short name - verify legitimate abbreviation,None
arc,ARC Construction,1,ARC Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
armays,ARMAYS,1,ARMAYS,KEEP,,HIGH,"AR Mays full form - verify distinct from ""ar"" (ARCO)","ar, ar mays"
atlas,Atlas,1,Atlas,KEEP,,LOW,Short name - verify legitimate abbreviation,None
aui,AUI,1,AUI,KEEP,,LOW,Short name - verify legitimate abbreviation,None
aw,AW Contracting,1,AW Contracting,KEEP,,LOW,Short name - verify legitimate abbreviation,None
baker,Baker Construction,1,Baker Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
bates,Bates Builders,1,Bates Builders,KEEP,,LOW,Short name - verify legitimate abbreviation,None
bcc,BCC,1,BCC,KEEP,,LOW,Short name - verify legitimate abbreviation,None
bf,BF Contracting Inc,1,BF Contracting Inc,KEEP,,LOW,Short name - verify legitimate abbreviation,None
bpr,BPR,1,BPR,KEEP,,LOW,Short name - verify legitimate abbreviation,None
brw,BRW CONTRACTING,1,BRW CONTRACTING,KEEP,,LOW,Short name - verify legitimate abbreviation,None
calla,Calla Development,1,Calla Development,KEEP,,LOW,Short name - verify legitimate abbreviation,None
capex,Capex Construction,1,Capex Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
ccv,CCV,1,CCV,KEEP,,LOW,Short name - verify legitimate abbreviation,None
cirks,Cirks Construction Inc,1,Cirks Construction Inc,KEEP,,LOW,Short name - verify legitimate abbreviation,None
colby,"Colby Construction Services, LLC",1,"Colby Construction Services, LLC",KEEP,,LOW,Short name - verify legitimate abbreviation,None
cti,CTI Construction,1,CTI Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
david,David,1,David,KEEP,,LOW,Short name - verify legitimate abbreviation,None
dbm,DBM Contracting,1,DBM Contracting,KEEP,,LOW,Short name - verify legitimate abbreviation,None
dcb,DCB,1,DCB,KEEP,,LOW,Short name - verify legitimate abbreviation,None
dcbg,DCBG,1,DCBG,KEEP,,LOW,Short name - verify legitimate abbreviation,None
dcs,DCS Contracting Inc,1,DCS Contracting Inc,KEEP,,LOW,Short name - verify legitimate abbreviation,None
dev,Devco,1,Devco,KEEP,,LOW,Short name - verify legitimate abbreviation,None
dmc,DMC Builder,1,DMC Builder,KEEP,,LOW,Short name - verify legitimate abbreviation,None
do,D&O,1,D&O,KEEP,,LOW,Short name - verify legitimate abbreviation,None
drp,DRP,1,DRP,KEEP,,LOW,Short name - verify legitimate abbreviation,None
e-,E-Corp,1,E-Corp,KEEP,,LOW,Short name - verify legitimate abbreviation,None
e1,E1 Development Services,1,E1 Development Services,KEEP,,LOW,Short name - verify legitimate abbreviation,None
ec,ECCO,1,ECCO,KEEP,,LOW,Short name - verify legitimate abbreviation,None
ethos,Ethos Construction,1,Ethos Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
felix,Felix Construction Company,1,Felix Construction Company,KEEP,,LOW,Short name - verify legitimate abbreviation,None
gss,GSS,1,GSS,KEEP,,LOW,Short name - verify legitimate abbreviation,None
h b,H & B Builders,1,H & B Builders,KEEP,,LOW,Short name - verify legitimate abbreviation,None
hitt,HITT Contracting Inc,1,HITT Contracting Inc,KEEP,,LOW,Short name - verify legitimate abbreviation,None
icon,ICON,1,ICON,KEEP,,LOW,Short name - verify legitimate abbreviation,None
idg,IDG,1,IDG,KEEP,,LOW,Short name - verify legitimate abbreviation,None
image,Image Builders,1,Image Builders,KEEP,,LOW,Short name - verify legitimate abbreviation,None
k2k,K2K LLC,1,K2K LLC,KEEP,,LOW,Short name - verify legitimate abbreviation,None
kbd,KBD Group,1,KBD Group,KEEP,,LOW,Short name - verify legitimate abbreviation,None
kbe,KBE,1,KBE,KEEP,,LOW,Short name - verify legitimate abbreviation,None
kcg,KCG Inc,1,KCG Inc,KEEP,,LOW,Short name - verify legitimate abbreviation,None
khov,KHOV,1,KHOV,KEEP,,LOW,Short name - verify legitimate abbreviation,None
koa,KOA,1,KOA,KEEP,,LOW,Short name - verify legitimate abbreviation,None
krb,KRB Development,1,KRB Development,KEEP,,LOW,Short name - verify legitimate abbreviation,None
lefc,LEFC Corp,1,LEFC Corp,KEEP,,LOW,Short name - verify legitimate abbreviation,None
lge,LGE,1,LGE,KEEP,,LOW,Short name - verify legitimate abbreviation,None
logos,Logos,1,Logos,KEEP,,LOW,Short name - verify legitimate abbreviation,None
lps,LPS,1,LPS,KEEP,,LOW,Short name - verify legitimate abbreviation,None
m j,M & J Construction,1,M & J Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
maco,Maco Construction Services Inc,1,Maco Construction Services Inc,KEEP,,LOW,Short name - verify legitimate abbreviation,None
maris,Maris Construction,1,Maris Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
mc,MC Construction,1,MC Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
mears,Mears Group,1,Mears Group,KEEP,,LOW,Short name - verify legitimate abbreviation,None
miko,Miko LLC,1,Miko LLC,KEEP,,LOW,Short name - verify legitimate abbreviation,None
mmr,MMR,1,MMR,KEEP,,LOW,Short name - verify legitimate abbreviation,None
mo25,MO25,1,MO25,KEEP,,LOW,Short name - verify legitimate abbreviation,None
moli,Moli Construction,1,Moli Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
monza,Monza,1,Monza,KEEP,,LOW,Short name - verify legitimate abbreviation,None
msl,MSL Contractor,1,MSL Contractor,KEEP,,LOW,Short name - verify legitimate abbreviation,None
n e,N & E Construction,1,N & E Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
ndccm,NDCCM,1,NDCCM,KEEP,,LOW,Short name - verify legitimate abbreviation,None
nfc,NFC Contracting Group,1,NFC Contracting Group,KEEP,,LOW,Short name - verify legitimate abbreviation,None
nkw,NKW,1,NKW,KEEP,,LOW,Short name - verify legitimate abbreviation,None
nlw,NLW Enterprises,1,NLW Enterprises,KEEP,,LOW,Short name - verify legitimate abbreviation,None
nrp,NRP,1,NRP,KEEP,,LOW,Short name - verify legitimate abbreviation,None
omega,Omega Services,1,Omega Services,KEEP,,LOW,Short name - verify legitimate abbreviation,None
park7,Park7,1,Park7,KEEP,,LOW,Short name - verify legitimate abbreviation,None
pcdm,PCDM,1,PCDM,KEEP,,LOW,Short name - verify legitimate abbreviation,None
penta,Penta,1,Penta,KEEP,,LOW,Short name - verify legitimate abbreviation,None
perlo,Perlo,1,Perlo,KEEP,,LOW,Short name - verify legitimate abbreviation,None
pgc,PGC Builders,1,PGC Builders,KEEP,,LOW,Short name - verify legitimate abbreviation,None
pmd,PMD Development,1,PMD Development,KEEP,,LOW,Short name - verify legitimate abbreviation,None
power,Power Contracting,1,Power Contracting,KEEP,,LOW,Short name - verify legitimate abbreviation,None
pr,PR Construction,1,PR Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
r r,R & R Construction,1,R & R Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
rccm,RCCM,1,RCCM,KEEP,,LOW,Short name - verify legitimate abbreviation,None
rcds,RCDS,1,RCDS,KEEP,,LOW,Short name - verify legitimate abbreviation,None
red,Red Development,1,Red Development,KEEP,,LOW,Short name - verify legitimate abbreviation,None
remus,Remus,1,Remus,KEEP,,LOW,Short name - verify legitimate abbreviation,None
rhino,Rhino Contracting,1,Rhino Contracting,KEEP,,LOW,Short name - verify legitimate abbreviation,None
rjm,RJM,1,RJM,KEEP,,LOW,Short name - verify legitimate abbreviation,None
rkda,RKDA,1,RKDA,KEEP,,LOW,Short name - verify legitimate abbreviation,None
roche,Roche Construction,1,Roche Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
roers,Roers,1,Roers,KEEP,,LOW,Short name - verify legitimate abbreviation,None
rpm,RPM,1,RPM,KEEP,,LOW,Short name - verify legitimate abbreviation,None
rr,R&R Construction,1,R&R Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
sharp,Sharp Construction,1,Sharp Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
shea,Shea,1,Shea,KEEP,,LOW,Short name - verify legitimate abbreviation,None
sj,SJ Contracting,1,SJ Contracting,KEEP,,LOW,Short name - verify legitimate abbreviation,None
spurr,Spurr,1,Spurr,KEEP,,LOW,Short name - verify legitimate abbreviation,None
ss,S&S,1,S&S,KEEP,,LOW,Short name - verify legitimate abbreviation,None
stine,Stine Enterprises,1,Stine Enterprises,KEEP,,LOW,Short name - verify legitimate abbreviation,None
sub4,Sub4,1,Sub4,KEEP,,LOW,Short name - verify legitimate abbreviation,None
talon,Talon,1,Talon,KEEP,,LOW,Short name - verify legitimate abbreviation,None
the x,The X Company,1,The X Company,KEEP,,LOW,Short name - verify legitimate abbreviation,None
tils,Tils,1,Tils,KEEP,,LOW,Short name - verify legitimate abbreviation,None
tomac,Tomac Development Co,1,Tomac Development Co,KEEP,,LOW,Short name - verify legitimate abbreviation,None
torri,Torri,1,Torri,KEEP,,LOW,Short name - verify legitimate abbreviation,None
venue,Venue,1,Venue,KEEP,,LOW,Short name - verify legitimate abbreviation,None
verde,Verde Builders,1,Verde Builders,KEEP,,LOW,Short name - verify legitimate abbreviation,None
vkw,VKW,1,VKW,KEEP,,LOW,Short name - verify legitimate abbreviation,None
vlmk,VLMK,1,VLMK,KEEP,,LOW,Short name - verify legitimate abbreviation,None
void,Void,1,Void,KEEP,,LOW,Short name - verify legitimate abbreviation,None
weis,Weis Builders Inc,1,Weis Builders Inc,KEEP,,LOW,Short name - verify legitimate abbreviation,None
wjh,WJH LLC,1,WJH LLC,KEEP,,LOW,Short name - verify legitimate abbreviation,None
zzone,Zzone Construction,1,Zzone Construction,KEEP,,LOW,Short name - verify legitimate abbreviation,None
