canonical_name,display_name,record_count,sources_found_in,likely_status
gilbert baseline owner,Gilbert & Baseline Owner,1,certs_2025_all | excel_location_completed | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv | excel_wt_sw,UNKNOWN
tempe206sfarmeravellccomarshmclennan1922150,Tempe206SFarmerAveLLCcoMarshMcLennan1922150,1,certs_2025_all,UNKNOWN
the ideal company-clayton,The Ideal Company-Clayton Group,1,certs_2025_all | excel_rental_bv | excel_rental_swppp_numbers,UNKNOWN
stine,Stine Enterprises,1,certs_2025_all | excel_location_completed | excel_location_uploads | excel_rental_bv | excel_rental_items | excel_rental_swppp_numbers | excel_swppp_bv | excel_swppp_confirmed,UNKNOWN
sdc technology,SDC Technology Services,1,certs_2025_all | excel_location_completed | excel_rental_swppp_numbers,UNKNOWN
axis pointe,Axis Pointe,1,certs_2025_all | excel_location_completed | excel_location_uploads | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv,UNKNOWN
aon risk services centra l,Aon Risk Services Centra lInc,1,certs_2025_all | excel_location_completed,UNKNOWN
8th farmer,8th & Farmer LLC,1,certs_2025_all | excel_location_completed | excel_location_contract_billing | excel_location_need_start | excel_location_sheet1 | excel_location_uploads | excel_rental_bv | excel_rental_items | excel_rental_swppp_numbers,UNKNOWN
higley road apartments owner,Higley Road Apartments Owner,1,certs_2025_all | excel_location_completed | excel_location_contract_billing | excel_location_need_start | excel_location_sheet1 | excel_location_uploads | excel_rental_bv | excel_rental_items | excel_rental_swppp_numbers | excel_swppp_bv | excel_wt_sw,UNKNOWN
hardy rio,Hardy Rio Holdings,1,certs_2025_all | excel_location_completed | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv,UNKNOWN
monterey ridge condominium association,Monterey Ridge Condominium Association,1,certs_2025_all | excel_rental_bv | excel_rental_swppp_numbers,UNKNOWN
mcrefiiikierlandapartmentsllccomarshusainc1922144,MCREFIIIKierlandApartmentsLLCcoMarshUSAInc1922144,1,certs_2025_all,UNKNOWN
mattamy homes,Mattamy Homes Corporation,1,aia_all | certs_2025_all | excel_credit_memos | excel_location_completed | excel_location_contract_billing | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv | excel_wt_sw,UNKNOWN
cm bowen,CM Bowen Contracting LLC,1,certs_2025_all | excel_location_completed | excel_location_uploads | excel_swppp_bv,UNKNOWN
calbenuscorporationinsurancecompliance1922099,CalbenUSCorporationInsuranceCompliance1922099,1,certs_2025_all,UNKNOWN
city of phoenix housing department,City of Phoenix Housing Department,1,certs_2025_all | excel_swppp_bv,UNKNOWN
dr horton inc its affiliates and subsidiaries,DR Horton Inc its affiliates and subsidiaries,1,certs_2025_all | excel_rental_bv,UNKNOWN
devco preservation,DevCo Preservation,1,certs_2025_all | excel_credit_memos | excel_location_completed | excel_rental_bv | excel_rental_items | excel_rental_swppp_numbers,UNKNOWN
devco u s,DevCo U S Construction,1,certs_2025_all | excel_location_contract_billing | excel_location_sheet1 | excel_location_uploads | excel_rental_bv | excel_rental_items | excel_rental_swppp_numbers | excel_swppp_bv | excel_wt_sw,UNKNOWN
econosmart property,Econosmart Property Services LLC,1,certs_2025_all | excel_location_contract_billing | excel_location_sheet1 | excel_location_uploads,UNKNOWN
k hovannian,K Hovannian,1,certs_2025_all | excel_cp_invoices_2024 | excel_credit_memos | excel_rental_bv | excel_rental_items | excel_rental_swppp_numbers | excel_swppp_bv | excel_wt_sw,UNKNOWN
industrial metal supply,Industrial Metal Supply,1,aia_all | certs_2025_all | certs_A | excel_location_completed | excel_rental_swppp_numbers,UNKNOWN
idmbuildsazllc1922374,IDMBuildsAZLLC1922374,1,certs_2025_all | excel_location_completed | excel_location_need_start | excel_location_sheet1 | excel_location_uploads | excel_rental_swppp_numbers | excel_swppp_bv | excel_wt_sw,UNKNOWN
industria lmetal supply,Industria lMetal Supply,1,aia_all | certs_2025_all | certs_A | excel_location_completed | excel_rental_swppp_numbers,UNKNOWN
green valleyf irestation 15,GREEN VALLEYF IRESTATION #15,1,certs_2025_all | excel_location_completed | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv | excel_swppp_confirmed,UNKNOWN
green valleyf irestation 152,GREEN VALLEYF IRESTATION #152,1,certs_2025_all | excel_location_completed | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv | excel_swppp_confirmed,UNKNOWN
tdcproperties1922309,TDCProperties1922309,1,certs_2025_all | excel_rental_bv | excel_rental_swppp_numbers,UNKNOWN
tsg constructors -wickenburg truck barn,TSG Constructors -Wickenburg Truck Barn,1,certs_2025_all | excel_location_completed | excel_rental_swppp_numbers,UNKNOWN
spitfire,Spitfire Builders,1,certs_2025_all | excel_rental_swppp_numbers,UNKNOWN
smoke tree resort and bungalows,Smoke Tree Resort and Bungalows,1,certs_2025_all | excel_rental_swppp_numbers,UNKNOWN
sachse,Sachse Construction,1,certs_2025_all | excel_location_completed | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv,UNKNOWN
schoolhhouse,Schoolhhouse Development,1,certs_2025_all | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv,UNKNOWN
finishing consultants,Finishing Consultants,1,certs_2025_all,UNKNOWN
microsoft,Microsoft Corp,1,certs_2025_all | excel_location_completed | excel_rental_bv,UNKNOWN
microsoft corp- phx 7,Microsoft Corp- PHX 7,1,certs_2025_all | excel_location_completed | excel_rental_bv | excel_rental_swppp_numbers,UNKNOWN
m greenberg,M Greenberg Construction,1,certs_2025_all | excel_credit_memos | excel_location_completed | excel_location_uploads | excel_rental_items | excel_rental_swppp_numbers | excel_swppp_bv | excel_swppp_confirmed,UNKNOWN
cityofmesaparksandrecreationdepartment1922370,CityofMesaParksandRecreationDepartment1922370,1,certs_2025_all,UNKNOWN
bowman consulting,Bowman Consulting,1,aia_all | certs_2025_all | certs_A | excel_credit_memos | excel_location_billing_invoices | excel_location_completed | excel_location_contract_billing | excel_location_need_start | excel_location_sheet1 | excel_location_uploads | excel_rental_bv | excel_rental_items | excel_rental_swppp_numbers | excel_swppp_bv | excel_swppp_confirmed | excel_wt_sw | signs,UNKNOWN
krb,KRB Development,1,certs_2025_all | excel_rental_swppp_numbers,UNKNOWN
k2k,K2K LLC,1,certs_2025_all,UNKNOWN
lattitude 33,Lattitude 33 Contracting,1,certs_2025_all | excel_rental_bv,UNKNOWN
paccar financial,Paccar Financial Corp,1,certs_2025_all,UNKNOWN
engelwood,"Engelwood Construction, Inc.",1,certs_2025_all | excel_location_completed | excel_rental_swppp_numbers | excel_swppp_bv,UNKNOWN
stevens lein weber,Stevens Lein Weber Inc.,1,certs_2025_all | excel_location_billing_invoices | excel_location_completed | excel_location_uploads | excel_rental_swppp_numbers | excel_swppp_bv | excel_swppp_need_schedule,UNKNOWN
kopras home,"Kopras Home, LLC",1,certs_2025_all | excel_location_uploads | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv | excel_swppp_confirmed,UNKNOWN
porter acme- was dwill-mast,Porter Acme- was Dwill-Mast Construction LLC,1,excel_rental_bv | excel_swppp_bv,UNKNOWN
e-,E-Corp,1,excel_swppp_need_schedule,UNKNOWN
hoffman,HOFFMAN CONSTRUCTION COMPANY,1,excel_location_completed | excel_location_uploads | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv,UNKNOWN
fairway,FAIRWAY BUILDERS,1,aia_all | certs_2025_all | excel_location_billing_invoices | excel_location_completed | excel_location_contract_billing | excel_location_sheet1 | excel_location_uploads | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv | excel_wt_sw,UNKNOWN
