raw_spelling,source_file,record_count,should_merge,canonical_form,notes
Willmeng Construction Inc - Subzero-Camelback 303.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction Inc - Merit Partners.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction Inc - Civic Center CMAR.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Kentwood 10.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Gilbert Water Tower.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - St Marys FB.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Cotton Lane Commerce Park.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - The Base Industrial (2).pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - ASU Alumni Lawn Construction (2).pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Silver Creek.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Deervalley Bus Center Bldg 4&8.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Countryside Park.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Formation Park 10.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Kentwood 10 Offsite.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Palm Valley Commerce Center (2).pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - GC High School Expansion (2).pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - 10 Goodyear Citrus Rd (2).pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Silver Creek (2).pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - SCAHCC LTC Facility.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Avondale Police Detention Center.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Papago Commerce Center Bldg A&B.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Sun Valley Academy.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Mission Park (2).pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Surprise Community Pool.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Kentwood 10 (2).pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Kentwood 10 Offsite (2).pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Heritage Charter Auditorium.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - San Carlos Apache Healthcare.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - ASU Alumni Lawn Construction.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - PV CC - Building B & C.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Any and All AZ Projects.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Kentwood 303 (2).pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - The Base Industrial.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Amplify Phase 2.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Surprise Fire Station No 309.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Western Semi.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - St. Marys FB.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Mission Park.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Daisy Mountain.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Sun Valley Academy (2).pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Cap Rock - West 202.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Cotton Lane Commerce Park (2).pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Power Village.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Deer Valley Bus Center Bldg 4&8.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - ASU - Tempe District Utility Plant.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Formation Park 10 (2).pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Chandler Airpark 202 (2).pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Peoria Logistics - Frito Lay (2).pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Mack Innovation Park - Phase I.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Avondale Police Detention Center (2).pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - GC High School Expansion.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - 10 Goodyear Citrus Rd.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Kentwood Casa Grande.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - San Carlos Apache Healthcare (2).pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Heritage Charter Auditorium (2).pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Kentwood 303.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Palm Valley Commerce Center.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Chandler Airpark 202.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - McKesson Phoenix.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - MSRP Renovation.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Mesa Gateway Library.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Countryside Park (2).pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - MSRP Renovation (2).pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - ASU Tempe District Ultility Plant.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - McKesson Phoenix (2).pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Amplify Healthcare.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Gilbert Christian High School.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Gateway Interchange.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Peoria Logistics - Frito Lay.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Western Semi Solutions.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - SCAHCC LTC.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Surprise Fire Station.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Mack Innovation Park.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Cap Rock - West 202 Logistics.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - 99 North.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Hayden & 101 Waterline.pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
Willmeng Construction - Surprise Community Pool (2).pdf,certs_2025_all.csv,1,YES,Willmeng Construction,Construction variant
WILLMENG: Kentwood Casa Grande,excel_cp_invoices_2025.csv,1,YES,Willmeng,
willmeng.com;cdoss@willmeng.com,excel_location_completed.csv,1,NO,EXTRACT_CONTACT,Contact info - keep separate
willmeng.com;zpisztel@willmeng.com,excel_location_completed.csv,1,NO,EXTRACT_CONTACT,Contact info - keep separate
willmeng.cm,excel_location_completed.csv,1,YES,Willmeng,
willmeng.com;hbeerangi@willmeng.com,excel_location_completed.csv,1,NO,EXTRACT_CONTACT,Contact info - keep separate
willmeng.com;DTooley@willmeng.com,excel_location_completed.csv,1,NO,EXTRACT_CONTACT,Contact info - keep separate
willmeng.com; darnberger@willmeng.com; tosborn@willmeng.com,excel_location_completed.csv,1,NO,EXTRACT_CONTACT,Contact info - keep separate
willmeng.com; jburbo@willmeng.com; kvekaria@willmeng.com;ddesai@willmeng.com,excel_location_completed.csv,1,NO,EXTRACT_CONTACT,Contact info - keep separate
willmeng.com; asegu@willmeng.com; snihart@willmeng.com; pkadu@willmeng.com,excel_location_completed.csv,1,NO,EXTRACT_CONTACT,Contact info - keep separate
willmeng.com; dtappen@willmeng.com,excel_location_completed.csv,1,NO,EXTRACT_CONTACT,Contact info - keep separate
willmeng.com;tgardner@willmeng.com;acharameda@willmeng.com,excel_location_completed.csv,1,NO,EXTRACT_CONTACT,Contact info - keep separate
willmeng.com; psmith@willmeng.com,excel_location_completed.csv,1,NO,EXTRACT_CONTACT,Contact info - keep separate
willmeng.com;acharmeda@willmeng.com,excel_location_completed.csv,1,NO,EXTRACT_CONTACT,Contact info - keep separate
willmeng.com; plillegraven@willmeng.com; tgordon@willmeng.com,excel_location_completed.csv,1,NO,EXTRACT_CONTACT,Contact info - keep separate
willmeng.com;lemmert@willmeng.com,excel_location_completed.csv,1,NO,EXTRACT_CONTACT,Contact info - keep separate
willmeng.com; ralexander@willmeng.com; mgoodrich@willmeng.com,excel_location_completed.csv,1,NO,EXTRACT_CONTACT,Contact info - keep separate
willmeng.com;abynum@willmeng.com;vassudani@willmeng.com,excel_location_completed.csv,1,NO,EXTRACT_CONTACT,Contact info - keep separate
willmeng.com; eenniss@willmeng.com,excel_location_completed.csv,1,NO,EXTRACT_CONTACT,Contact info - keep separate
willmeng.com; mgoodrich@willmeng.com,excel_location_completed.csv,1,NO,EXTRACT_CONTACT,Contact info - keep separate
willmeng.com;dcarrier@willmeng.com,excel_location_completed.csv,1,NO,EXTRACT_CONTACT,Contact info - keep separate
willmeng.com;scrutchley@willmeng.com,excel_location_completed.csv,1,NO,EXTRACT_CONTACT,Contact info - keep separate
willmeng.com;dlutgen@willmeng.com,excel_location_uploads.csv,1,NO,EXTRACT_CONTACT,Contact info - keep separate
willmeng.com; kvekaria@willmeng.com; ddesai@willmeng.com,excel_location_uploads.csv,1,NO,EXTRACT_CONTACT,Contact info - keep separate
