canonical_field	label	group	covered_docs	unique_values	sources_json	sample_values_json
dates.swppp_preparation_date	SWPPP preparation date	Dates	196	102	["TITLE.SWPPP Contact(s).SWPPP Preparation Date"]	[{"v":"01/30/2026","count":7},{"v":"06/11/2025","count":6},{"v":"12/17/2025","count":5},{"v":"12/16/2025","count":5},{"v":"04/14/2025","count":4},{"v":"03/06/2025","count":4},{"v":"08/08/2025","count":4},{"v":"11/19/2025","count":4}]
dates.project_start	Estimated project start date	Dates	196	126	["1.3 Nature and Sequence of Construction Activity.Estimated Project Start Date","TITLE.SWPPP Contact(s).Project Start Date"]	[{"v":"08/29/2025","count":14},{"v":"12/23/2025","count":5},{"v":"03/31/2025","count":4},{"v":"01/30/2025","count":4},{"v":"09/30/2025","count":4},{"v":"12/09/2025","count":3},{"v":"04/15/2025","count":3},{"v":"03/28/2025","count":3}]
dates.project_completion	Estimated project completion date	Dates	196	12	["1.3 Nature and Sequence of Construction Activity.Estimated Project Completion Date"]	[{"v":"06/30/2025","count":104},{"v":"08/28/2030","count":66},{"v":"08/03/2025","count":10},{"v":"08/28/2025","count":5},{"v":"06/25/2025","count":4},{"v":"10/30/2026","count":1},{"v":"01/26/2026","count":1},{"v":"03/24/2026","count":1}]
operator.company	Operator company	Contacts	196	111	["1.2 Contact Information/Responsable Parties.Operator(s).Line1","TITLE.Operator(s).Line1"]	[{"v":"lge design build","count":13},{"v":"layton construction company, llc","count":9},{"v":"tlw construction, inc.","count":9},{"v":"willmeng construction, inc.","count":9},{"v":"a.r. mays construction, inc.","count":8},{"v":"ryan companies us, inc","count":6},{"v":"wd construction, llc","count":5},{"v":"core construction, inc.","count":4}]
operator.contact_name	Operator contact name	Contacts	196	165	["1.2 Contact Information/Responsable Parties.Operator(s).Contact","TITLE.Operator(s).Contact"]	[{"v":"jim kelly","count":11},{"v":"wayne smith","count":6},{"v":"derek cayton","count":2},{"v":"art maese","count":2},{"v":"mike walz","count":2},{"v":"rockey swanson","count":2},{"v":"tim zastrow","count":2},{"v":"christopher jones","count":2}]
operator.phone	Operator phone	Contacts	196	160	["1.2 Contact Information/Responsable Parties.Operator(s).Phone","TITLE.Operator(s).Phone","TITLE.Phone"]	[{"v":"480-966-4001","count":8},{"v":"480-215-0318","count":6},{"v":"805-565-0015","count":5},{"v":"623-980-4048","count":5},{"v":"480-435-7988","count":2},{"v":"480-490-7324","count":2},{"v":"602-653-5358","count":2},{"v":"312-965-8344","count":2}]
operator.email	Operator email (best-effort scan)	Contacts	120	107	[]	[{"v":"wayne@tlwconstruction.com","count":5},{"v":"artmaese@weisbuilders.com","count":2},{"v":"mwalz@dickensquality.com","count":2},{"v":"rswanson@eci.build","count":2},{"v":"tzastrow@csigc.com","count":2},{"v":"jzozaya@armays.com","count":2},{"v":"travis.kahanek@laytonconstruction.com","count":2},{"v":"mthorpe@armays.com","count":2}]
operator.address_line1	Operator address line 1	Contacts	196	116	["1.2 Contact Information/Responsable Parties.Operator(s).Line2","TITLE.Operator(s).Line2"]	[{"v":"1200 n 52nd st","count":10},{"v":"2355 e camelback rd, ste 800","count":9},{"v":"6900 e indian school rd, #200","count":8},{"v":"1702 e highland ave ste 400","count":8},{"v":"3020 e camelback rd apt 340","count":5},{"v":"2085 e technology cir, apt 100","count":5},{"v":"3036 e greenway rd","count":4},{"v":"533 s 3rd st.","count":4}]
operator.city_state_zip	Operator city/state/zip	Contacts	196	74	["1.2 Contact Information/Responsable Parties.Operator(s).Line3","TITLE.Operator(s).Line3"]	[{"v":"phoenix, az 85016","count":30},{"v":"phoenix, az 85008","count":15},{"v":"scottsdale, az 85251","count":14},{"v":"scottsdale, az 85258","count":8},{"v":"tempe, az 85284","count":7},{"v":"minneapolis mn 55415","count":7},{"v":"tempe, az 85281","count":6},{"v":"gilbert, az 85233","count":5}]
swppp_contact.name	SWPPP contact name (best-effort)	Contacts	196	165	["TITLE.SWPPP Contact(s).Line1","1.2 Contact Information/Responsable Parties.SWPPP Contact(s).Line1"]	[{"v":"jim kelly","count":11},{"v":"wayne smith","count":6},{"v":"derek cayton","count":2},{"v":"art maese","count":2},{"v":"mike walz","count":2},{"v":"rockey swanson","count":2},{"v":"tim zastrow","count":2},{"v":"christopher jones","count":2}]
swppp_contact.phone	SWPPP contact phone	Contacts	196	160	["1.2 Contact Information/Responsable Parties.SWPPP Contact(s).Phone","TITLE.SWPPP Contact(s).Phone","TITLE.Phone"]	[{"v":"480-966-4001","count":8},{"v":"480-215-0318","count":6},{"v":"805-565-0015","count":5},{"v":"623-980-4048","count":5},{"v":"480-435-7988","count":2},{"v":"480-490-7324","count":2},{"v":"602-653-5358","count":2},{"v":"312-965-8344","count":2}]
emergency.contact_name	Emergency 24-hour contact name (best-effort scan)	Contacts	188	163	[]	[{"v":"jim kelly","count":11},{"v":"derek cayton","count":2},{"v":"art maese","count":2},{"v":"mike walz","count":2},{"v":"rockey swanson","count":2},{"v":"tim zastrow","count":2},{"v":"ameris construction co. - christopher jones - 602-550-6638","count":2},{"v":"nicole gonzales","count":2}]
emergency.phone	Emergency 24-hour phone (best-effort scan)	Contacts	188	157	[]	[{"v":"480-966-4001","count":8},{"v":"805-565-0015","count":5},{"v":"623-980-4048","count":5},{"v":"480-435-7988","count":2},{"v":"480-490-7324","count":2},{"v":"602-653-5358","count":2},{"v":"312-965-8344","count":2},{"v":"480-721-4246","count":2}]
site.total_project_area_acres	Total project area (acres; raw)	Site Details	194	146	["1.5 Construction Site Estimates.Total project area"]	[{"v":"1 acres","count":7},{"v":"17 acres","count":5},{"v":"13 acres","count":3},{"v":"1.22 acres","count":3},{"v":"2.5 acres","count":3},{"v":"19 acres","count":3},{"v":"5 acres","count":3},{"v":"1.06 acres","count":3}]
site.total_project_area_acres_number	Total project area (acres; numeric derived)	Site Details	194	145	[]	[{"v":"1","count":7},{"v":"17","count":5},{"v":"13","count":3},{"v":"1.22","count":3},{"v":"2.5","count":3},{"v":"19","count":3},{"v":"5","count":3},{"v":"1.06","count":3}]
site.disturbed_area_acres	Disturbed area (acres; raw)	Site Details	196	146	["1.5 Construction Site Estimates.Construction site area to be disturbed"]	[{"v":"1 acres","count":7},{"v":"17 acres","count":5},{"v":"13 acres","count":3},{"v":"1.22 acres","count":3},{"v":"2.5 acres","count":3},{"v":"19 acres","count":3},{"v":"5 acres","count":3},{"v":"1.06 acres","count":3}]
site.disturbed_area_acres_number	Disturbed area (acres; numeric derived)	Site Details	196	145	[]	[{"v":"1","count":7},{"v":"17","count":5},{"v":"13","count":3},{"v":"1.22","count":3},{"v":"2.5","count":3},{"v":"19","count":3},{"v":"5","count":3},{"v":"1.06","count":3}]
site.soil_types	Soil type(s)	Site Details	196	115	["1.4 Soils, Slopes, Vegetation, and Current Drainage Patterns.Soil type(s)"]	[{"v":"laveen loam","count":12},{"v":"gilman loam","count":12},{"v":"gilman loams","count":10},{"v":"mohall loam mlra 40","count":7},{"v":"estrella loam","count":5},{"v":"estrella loams, gilman loams","count":5},{"v":"avondale clay loam","count":4},{"v":"contine clay loam","count":4}]
site.slopes	Slopes (often blank)	Site Details	110	30	["1.4 Soils, Slopes, Vegetation, and Current Drainage Patterns.Slopes"]	[{"v":"0 to 1 percent slopes","count":34},{"v":"0 to 2 percent slopes","count":14},{"v":"1 to 5 percent slopes","count":11},{"v":"0 to 3 percent slopes","count":5},{"v":"0 to 2 percent slopes, 0 to 1 percent slopes","count":5},{"v":"0 to 1 percent slopes, 1 to 3 percent slopes","count":3},{"v":"1 to 8 percent slopes","count":3},{"v":"0 to 1 percent slopes, 0 to 2 percent slopes","count":3}]
site.receiving_waters	Receiving waters	Site Details	192	66	["1.6 Receiving waters.Description of receiving waters"]	[{"v":"unnamed ephemeral tributary","count":29},{"v":"roosevelt canal","count":15},{"v":"indian bend wash","count":13},{"v":"unknown ephemeral tributary","count":9},{"v":"agua fria river","count":7},{"v":"arizona canal","count":6},{"v":"beardsley canal","count":6},{"v":"el camino viejo rd","count":6}]
site.storm_sewer_systems	Storm sewer systems / MS4	Site Details	191	41	["1.6 Receiving waters.Description of storm sewer systems"]	[{"v":"city of phoenix ms4","count":40},{"v":"city of mesa ms4","count":25},{"v":"city of scottsdale ms4","count":22},{"v":"city of chandler ms4","count":12},{"v":"city of tempe ms4","count":9},{"v":"city of tucson ms4","count":8},{"v":"city of goodyear ms4","count":7},{"v":"city of buckeye ms4","count":7}]
bmp.ec7.responsible_staff	BMP EC-7 responsible staff	BMP (High Variance)	196	118	["2.4 Stabilize Soils.BMP EC-7.Responsible Staff"]	[{"v":"lge design build","count":13},{"v":"layton construction company, llc","count":9},{"v":"tlw construction, inc.","count":9},{"v":"willmeng construction, inc.","count":9},{"v":"ryan companies us, inc","count":6},{"v":"wd construction, llc","count":5},{"v":"core construction, inc.","count":4},{"v":"mt builders llc","count":3}]
bmp.ec7.installation_schedule	BMP EC-7 installation schedule	BMP (High Variance)	196	1	["2.4 Stabilize Soils.BMP EC-7.Installation Schedule"]	[{"v":"during all grading & excavating.","count":196}]
bmp.ec7.maintenance	BMP EC-7 maintenance/inspection	BMP (High Variance)	196	1	["2.4 Stabilize Soils.BMP EC-7.Maintenance and Inspection"]	[{"v":"stabilization will be done daily as needed.","count":196}]
