Service,Item,Description,Variance,Cost,Unit,Prior_Pricing,Change_Pct
Dust Control Permit (Pima),Land Stripping/Earthmoving – >2 to 10 Acres,"Filing and coordination of a land stripping/earthmoving permit for sites disturbing more than 2 to 10 acres (County Fee: $500; Admin Fee: $500)",Acreage,1000,Each,,
Dust Control Permit (Pima),Land Stripping/Earthmoving – >10 to 40 Acres,"Filing and coordination of a land stripping/earthmoving permit for sites disturbing more than 10 to 40 acres (County Fee: $1,500; Admin Fee: $750)",Acreage,2250,Each,,
Dust Control Permit (Pima),Land Stripping/Earthmoving – >40 Acres,"Filing and coordination of a land stripping/earthmoving permit for sites disturbing more than 40 acres (County Fee: $3,000; Admin Fee: $1,000)",Acreage,4000,Each,,
Dust Control Permit (Pima),Trenching – >300 to 500 Ft.,"Filing and coordination of a trenching permit for excavations over 300 to 500 linear feet (County Fee: $75; Admin Fee: $250)",Linear Feet,325,Each,,
Dust Control Permit (Pima),Trenching – 501 to 1500 Ft.,"Filing and coordination of a trenching permit for excavations 501 to 1500 linear feet (County Fee: $200; Admin Fee: $250)",Linear Feet,450,Each,,
Dust Control Permit (Pima),Trenching – 1501 to 5000 Ft.,"Filing and coordination of a trenching permit for excavations 1501 to 5000 linear feet (County Fee: $400; Admin Fee: $250)",Linear Feet,650,Each,,
Dust Control Permit (Pima),Trenching – 5001+ Ft.,"Filing and coordination of a trenching permit for excavations over 5000 linear feet (County Fee: $800; Admin Fee: $500)",Linear Feet,1300,Each,,
Dust Control Permit (Pima),Road Construction – >50 to 1000 Ft.,"Filing and coordination of a road construction permit for roads over 50 to 1000 linear feet (County Fee: $50; Admin Fee: $250)",Linear Feet,300,Each,,
Dust Control Permit (Pima),Road Construction – 1001 to 3000 Ft.,"Filing and coordination of a road construction permit for roads 1001 to 3000 linear feet (County Fee: $250; Admin Fee: $250)",Linear Feet,500,Each,,
Dust Control Permit (Pima),Road Construction – 3001 to 6000 Ft.,"Filing and coordination of a road construction permit for roads 3001 to 6000 linear feet (County Fee: $500; Admin Fee: $500)",Linear Feet,1000,Each,,
Dust Control Permit (Pima),Road Construction – 6001+ Ft.,"Filing and coordination of a road construction permit for roads over 6000 linear feet (County Fee: $1,000; Admin Fee: $500)",Linear Feet,1500,Each,,
Dust Control Permit (Pima),Blasting Permit,"Filing and coordination of a blasting permit (County Fee: $25; Admin Fee: $250)",-,275,Each,,
Dust Control Permit (Pima),Multiple Activity – 1 to 10 Acres,"Filing and coordination of a multiple activity permit for sites 1 to 10 acres (County Fee: $625; Admin Fee: $500)",Acreage,1125,Each,,
Dust Control Permit (Pima),Multiple Activity – >10 to 40 Acres,"Filing and coordination of a multiple activity permit for sites over 10 to 40 acres (County Fee: $2,000; Admin Fee: $750)",Acreage,2750,Each,,
Dust Control Permit (Pima),Multiple Activity – >40 Acres,"Filing and coordination of a multiple activity permit for sites over 40 acres (County Fee: $4,000; Admin Fee: $1,000)",Acreage,5000,Each,,
Dust Control Permit (Pima),Demolition Permit (Asbestos NESHAP),"Filing and coordination of an asbestos NESHAP demolition permit (County Fee: $420; Admin Fee: $250)",-,670,Each,,
Dust Control Permit (Pima),Renovation Permit (Asbestos NESHAP),"Filing and coordination of an asbestos NESHAP renovation permit (County Fee: $420; Admin Fee: $250)",-,670,Each,,
