Multi-Interval Precipitation Totals

                         FLOOD CONTROL DISTRICT of MARICOPA COUNTY
                     Precipitation Report for ALL FCDMC Rain Stations
                       6 and 24 Hours Ending 12/31/25 at 1418
            *** Data is Preliminary and Unedited, ---- Denotes Missing Data ***

     Gage                          In or Nearest      Gage    Elev.  Rainfall    Rainfall      MSP Forecast       General
Verrado West                       Buckeye            48700   1470      0.00       0.00     West Valley           1.25 mi. W of Verrado Way and Lost Creek Dr.
Santa Cruz @ SR 84                 Casa Grande        63800   1350      0.00       0.00     None                  3 mi. West of SR 93 (Casa Grande) on SR 84                   
Cave Creek                         Cave Creek         19000   1995      0.00       0.00     New River/Cave Creek  1 mile west of Cave Creek Town Hall
Cave Cr.@ Spur Cross Rd.           Cave Creek         20700   2280      0.00       0.00     New River/Cave Creek  3.5 mi. North of the Town of Cave Creek                      
Galloway Wash @ Galloway Rd.       Cave Creek         20600   2295      0.00       0.00     New River/Cave Creek  Galloway Rd. 1/4 mi. N of Cave Creek Rd.
Horseshoe Lake                     Cave Creek         82500   2070      0.00       0.00     None                  Horseshoe Lake - SW corner near boat ramp                    
Humboldt Mountain                  Cave Creek         1200    5205      0.00       0.00     New River/Cave Creek  13 mi. NE of the Town of Cave Creek                          
Rackensack Canyon                  Cave Creek         76500   4550      0.00       0.00     North Scottsdale      8 miles NE of the Town of Cave Creek
Middle Camp Creek                  Cave Creek         76600   3725      0.00       0.00     None                  3.3 mi. N of Camp Cr. @ Bartlett Lake Rd.
New River Mesa                     Cave Creek         22000   3960      0.00       0.00     New River/Cave Creek  11 miles N of the Town of Cave Creek
Seven Springs                      Cave Creek         21500   4615      0.00       0.00     New River/Cave Creek  15 mi. NNE of the Town of Cave Creek                         
Seven Springs Wash                 Cave Creek         21800   3530      0.00       0.00     New River/Cave Creek  11 miles NE of Cave Creek                                    
Willow Springs Wash                Cave Creek         21100   2800      0.00       0.00     New River/Cave Creek  4.2 mi. NE of Cave Creek
Chandler Blvd. @ Arizona Ave.      Chandler           32000   1210      0.00       0.00     Southeast Valley      1/4 mi. W of Chandler Blvd. and Arizona Ave.
Chandler Airport                   Chandler           32500   1225      0.00       0.00     Southeast Valley      1/4 mi. S of Queen Creek Rd. and McQueen Rd.
EMF @ Arizona Ave.                 Chandler           35200   1210      0.00       0.00     None                  On the SR 587 bridge 3 mi. South of Riggs Rd.                
Gila R. @ Maricopa Rd.             Chandler           41700   1135      0.00       0.00     None                  Gila River at Maricopa Road bridge                           
Bucks Well                         Congress           55000   3290      0.00       0.00     None                  3.5 miles W of Congress in Yavapai County
Burton Tank                        Congress           53200   2870      0.00       0.00     None                  3 miles SSW of Congress in Yavapai County                    
Congress                           Congress           49700   3040      0.00       0.00     None                  Junction of US 89 and SR 71                                  
Joshua Tree                        Congress           30500   2840      0.00       0.00     Upper Centennial      4.5 miles NW of the SR71 / US93 junction                     
Mid-Martinez Creek                 Congress           49200   2760      0.00       0.00     None                  4.4 mi SSE of the US 89 / SR 71 junction                     
Arizona Hunt Club                  Cordes Junction    17300   3805      0.00       0.00     None                  5 mi. NNW of Cordes Junction                                 
Horner Mtn. Ranch                  Cordes Junction    17000   4490      0.00       0.00     None                  11 mi. ENE of Cordes Junction                                
Horseshoe Ranch                    Cordes Junction    16700   3805      0.00       0.00     None                  10 mi. SE of Cordes Junction                                 
Horsethief Basin                   Crown King         16000   6705      0.00       0.00     None                  At HB Recreation Area, 6 mi. SE of Crown King                
Minnehaha                          Crown King         54000   5610      0.00       0.00     None                  8 mi. East of Wagoner, Yavapai County                        
Towers Mountain                    Crown King         1700    7630      0.00       0.00     None                  3 mi. NW of Crown King, Yavapai County                       
Dewey                              Dewey              17800   4740      0.00       0.00     None                  5 mi. E of Dewey off Orme Ranch Rd.                          
I-17 @ SR 169                      Dewey              17500   4445      0.00       0.00     None                  I-17 at SR 169 (Cherry Rd.)                                  
Agua Fria R. @ Grand Ave.          El Mirage          14700   1115      0.00       0.00     West Valley           Grand Ave. bridge at Agua Fria River                         
Dysart Drain @ Luke AFB            El Mirage          85800   1090      0.00       0.00     West Valley           1/4 mi. West of Northern Ave. & Litchfield Rd.               
Magma FRS                          Florence           42300   1625      0.00       0.00     None                  7 mi. NNW of Florence                                        
Elephant Butte                     Florence Junction  63400   2730      0.00       0.00     None                  5.2 mi. NNE of Queen Valley, Pinal Co.
Florence Junction                  Florence Junction  38500   1840      0.00       0.00     Superstition          1.5 mi. NW of Florence Junction                              
Magma East                         Florence Junction  42200   1740      0.00       0.00     None                  2.1 mi. NNE of AZ Farms Rd. & SR 79
Whitlow Ranch Dam                  Florence Junction  63300   2200      0.00       0.00     None                  5 miles NE of Florence Junction                              
Cloudburst Wash                    Fountain Hills     77800   2580      0.00       0.00     North Scottsdale      2 mi. NW of Sun Ridge Golf Course, Fountain Hills            
Fountain Hills Fire Dept.          Fountain Hills     76700   1665      0.00       0.00     North Scottsdale      1/2 mi. S of Palisades Blvd. and Fountain Hills Blvd.        
Golden Eagle Blvd.                 Fountain Hills     78500   2180      0.00       0.00     North Scottsdale      NW 1/4 of T3N-R6E-Section 5 at Chaparral Water Tank           
Hesperus Dam                       Fountain Hills     79000   1895      0.00       0.00     North Scottsdale      1/4 mi. N of Richwood Ave. & Golden Eagle Blvd.              
Hesperus Wash                      Fountain Hills     79300   2280      0.00       0.00     North Scottsdale      NW1/4 of T4N-R6E-Section 31 near Dixie Mine                  
McDowell Mountain Rd.              Fountain Hills     76000   1620      0.00       0.00     North Scottsdale      Off McDowell Mtn. Rd., 2 mi. N of Fountain Hills
North Heights Dam                  Fountain Hills     78200   1825      0.00       0.00     North Scottsdale      400 yds. SW of Sierra Madre Dr. and Golden Eagle Blvd.       
Saguaro Lake                       Fountain Hills     63500   1550      0.00       0.00     Lwr. Salt River Lakes MCSO yard, NW corner of the lake                             
Stone Ridge Dam                    Fountain Hills     77300   1710      0.00       0.00     North Scottsdale      1/4 mi. W of Cholla Dr. & Fountain Hills Blvd.               
Sun Ridge Canyon Dam               Fountain Hills     77500   1890      0.00       0.00     North Scottsdale      200 yards W of Lago Blvd. and Palisades Blvd.                
Bender Wash                        Gila Bend          40500   1200      0.00       0.00     Gila Bend             1/4 mile N of I-8, 10 mi. East of Gila Bend                  
Gila Bend Landfill                 Gila Bend          42500    750      0.00       0.00     None                  3 mi. North of the intersection of US 80 and I-8             
Maricopa Mountains                 Gila Bend          43000   1210      0.00       0.00     None                  11 miles ENE of Gila Bend
Sand Tank Wash @ I-8               Gila Bend          40000    765      0.00       0.00     Gila Bend             On I-8 bridge south of Gila Bend
Sand Tank Wash                     Gila Bend          40300   1160      0.00       0.00     Gila Bend             9 mi. SSE of Gila Bend
Sauceda Wash                       Gila Bend          71000    860      0.00       0.00     Gila Bend             6 mi. SSW of Gila Bend
Crossroads Park                    Gilbert            33000   1270      0.00       0.00     Southeast Valley      1/2 mi. NW of Ray Rd. and Greenfield Rd.
EMF @ Hunt Hwy.                    Gilbert            35100   1295      0.00       0.00     Southeast Valley      1/4 mi. E of Val Vista Dr. & Hunt Hwy.
EMF @ Queencreek Rd.               Gilbert            34800   1315      0.00       0.00     Southeast Valley      1/3 mi. West of Queen Creek Rd. and Higley Rd.
Freestone Basin                    Gilbert            32800   1245      0.00       0.00     Southeast Valley      1/2 mi. SSE of Guadalupe Rd. and Lindsay Rd.
Gladden                            Gladden            28800   2200      0.00       0.00     Upper Centennial      US 60 at Gladden, 34 miles W of Wickenburg
Harquahala Mountain                Gladden            1500    5680      0.00       0.00     None                  Top of Harquahala Mtn., 36 mi. WSW of Wickenberg
ACDC @ 67th Ave.                   Glendale           13800   1220      0.00       0.00     North Phoenix         67th Ave. Bridge at Arizona Canal, Glendale
City of Glendale                   Glendale           6500    1150      0.00       0.00     South Phoenix         Grand Avenue at 63rd Avenue                                  
New River @ Glendale Ave.          Glendale           61500   1060      0.00       0.00     South Phoenix         1/2 mi. E of 99th Ave. on Glendale Ave. bridge               
Bullard Wash @ Indian School Rd.   Goodyear           89500   1025      0.00       0.00     West Valley           Indian School Rd. @ Wigwam Blvd.           
Bullard Wash @ Van Buren St.       Goodyear           89200    980      0.00       0.00     West Valley           Van Buren St. 0.4 mi. W of Bullard Ave.
Camelback Rd. @ Citrus Rd.         Goodyear           87500   1115      0.00       0.00     West Valley           SW corner of Camelback & Citrus Roads
Estrella Fan                       Goodyear           84200   1455      0.00       0.00     Rainbow Valley        Alignments of El Mirage Rd. and Germann Rd.                  
Gila @ Estrella Pkwy.              Goodyear           83800    905      0.00       0.00     West Valley           Gila River at Estrella Parkway                               
Gila R. @ 116th Ave.               Goodyear           70700    940      0.00       0.00     West Valley           1/4 mile NNW of 115th Ave. and Baseline Rd.                  
Tuthill @ Ray Rd.                  Goodyear           83500    950      0.00       0.00     Rainbow Valley        1/2 mi. East of Tuthill Rd. and Ray Rd.                      
Upper Waterman Wash                Goodyear           84500   1600      0.00       0.00     None                  10 mi. WNW of Mobile                                         
Waterman Wash @ Rainbow Valley Rd. Goodyear           83300   1020      0.00       0.00     Rainbow Valley        Rainbow Valley Rd. at Queen Creek Rd.                        
Waterman Wash                      Goodyear           84000   1310      0.00       0.00     Rainbow Valley        El Mirage Rd. and Riggs Rd. alignments                       
Baseline Rd. @ 547th Ave.          Harquahala         24300   1235      0.00       0.00     Palo Verde            SW corner of Baseline and 547th Ave.                         
Buckeye Rd. @ 547th Ave.           Harquahala         24000   1205      0.00       0.00     Palo Verde            Buckeye Road at 547th Avenue                                 
Centennial Levee                   Harquahala         25700   1260      0.00       0.00     None                  2 mi S. of I-10 in Harquahala Valley                         
Eagle Eye Rd. @ CAP                Harquahala         23500   1400      0.00       0.00     None                  On Eagle Eye Rd. 1.5 miles south of Salome Hwy.
Harquahala FRS                     Harquahala         26000   1420      0.00       0.00     None                  10 mi. WNW of Tonopah in Harquahala Valley                   
Middle Harquahala FRS              Harquahala         25800   1410      0.00       0.00     None                  On Harquahala FRS 6.3 mi. WNW of Burnt Mtn.
Saddleback FRS                     Harquahala         25200   1180      0.00       0.00     Palo Verde            7 mi. WSW of Tonopah in Harquahala Valley                    
Tiger Wash                         Harquahala         27000   1875      0.00       0.00     None                  10 mi. N of the Eagle Eye Rd / Salome Hwy intersection       
Tiger Wash Fan                     Harquahala         26800   1605      0.00       0.00     None                  1 mi. W of Eagle Eye Rd. and 4 mi. N of Salome Highway       
Hassayampa R. @ Wagoner Rd.        Kirkland Junction  54300   3760      0.00       0.00     None                  6 mi. ESE of Kirkland Junction                               
Alma School Rd. @ 6th St.          Mesa               31600   1240      0.00       0.00     Southeast Valley      0.3 mi. N of University Dr. & Alma School Rd.
Broadway Rd. @ Brooks Rd.          Mesa               30700   1220      0.00       0.00     Southeast Valley      1/2 mi. WNW of Broadway Rd. & Alma School Rd.
Carriage Lane Park                 Mesa               31700   1190      0.00       0.00     Southeast Valley      1/2 mi. South of Price Rd. and Guadalupe Rd.                 
Chaparral Park                     Mesa               30600   1280      0.00       0.00     Southeast Valley      0.4 mi. S of Gilbert Rd. & McKellips Rd.
Dobson Ranch Park                  Mesa               91100   1200      0.00       0.00     Southeast Valley      1/2 mi S on Dobson Rd @ Baseline Rd
El Dorado @ Birchwood              Mesa               91200   1205      0.00       0.00     Southeast Valley      1/4 mi N of Broadway Rd @ El Dorado Rd
Elliot Rd. @ Loop 202              Mesa               35000   1390      0.00       0.00     Southeast Valley      SE corner of Elliot Rd. and Loop 202
Emerald Park                       Mesa               90600   1231      0.00       0.00     Southeast Valley      0.1 mi S of Harris Dr @ Hilton Ave.
EMF @ Broadway Rd.                 Mesa               34300   1340      0.00       0.00     Southeast Valley      1/2 mi. SSE of Broadway Rd. and Higley Rd.
EMF below Powerline Floodway       Mesa               33700   1320      0.00       0.00     Southeast Valley      1/4 mi. SE of Ray Rd. and Power Rd. 
Falcon Field                       Mesa               34000   1370      0.00       0.00     Southeast Valley      1/4 mi. NE of McKellips Rd. & Greenfield Rd.                 
Fitch Park                         Mesa               31000   1245      0.00       0.00     Southeast Valley      1/2 mi. N of University Dr. and Center St.                   
Granite Reef Diversion             Mesa               75000   1330      0.00       0.00     Superstition          Bush Highway at Granite Reef Dam
Greenfield Rd. @ Adobe Rd.         Mesa               34200   1335      0.00       0.00     Southeast Valley      0.4 mi. S of Brown Rd. & Greenfield Rd.
Guadalupe Channel                  Mesa               35700   1360      0.00       0.00     Southeast Valley      1/4 mi. E of Power Rd. and Guadalupe Rd.                     
Harris Dr. @ 8th St.               Mesa               90700   1259      0.00       0.00     Southeast Valley      Harris Dr. @ 8th St.                     
Hermosa Vista Park                 Mesa               31400   1310      0.00       0.00     Southeast Valley      1/4 mi. N of McKellips Rd. & Lindsay Rd.
Horne Rd. @ 8th Ave.               Mesa               30900   1225      0.00       0.00     Southeast Valley      0.3 mi. N of Southern Ave. on Horne Rd.
Horne Rd. @ McLellan Rd.           Mesa               31300   1260      0.00       0.00     Southeast Valley      100 yds. N of Horne Rd. & McLellan Rd.
Jefferson Park                     Mesa               34900   1400      0.00       0.00     Southeast Valley      1/4 mi. E of Power Rd. & Broadway Rd.
Kleinman Park                      Mesa               30800   1220      0.00       0.00     Southeast Valley      1/2 mi. SE of Broadway Rd. and Alma School Rd.               
Main St. @ Hawes Rd.               Mesa               34700   1590      0.00       0.00     Southeast Valley      0.2 mi. WNW of Main St. & Hawes Rd.
Main St. @ Miller St.              Mesa               90800   1238      0.00       0.00     Southeast Valley      Main St. @ Miller St.
McDowell Rd. @ Hawes Rd.           Mesa               33200   1750      0.00       0.00     Superstition          150 yds. NW of McDowell Rd. and Hawes Rd.
Mesa Tower                         Mesa               32300   1215      0.00       0.00     Southeast Valley      1/4 mi. NW of McQueen Rd. and Baseline Rd.                   
Mountain View Park                 Mesa               31200   1280      0.00       0.00     Southeast Valley      1/2 mi. N of University Dr. and Lindsay Rd.                  
Powerline Floodway                 Mesa               37500   1385      0.00       0.00     Southeast Valley      Ellsworth Rd. @ Ray Rd. alignment                  
Price Drain @ Loop 202             Mesa               31500   1195      0.00       0.00     Southeast Valley      Loop 202 at Loop 101                                         
Recker Rd. @ McLellan Rd.          Mesa               34400   1450      0.00       0.00     Southeast Valley      0.1 mi. N of Recker Rd. & McLellan Rd.
Reid Park                          Mesa               31100   1240      0.00       0.00     Southeast Valley      0.4 mi. W of Broadway Rd. & Gilbert Rd.
Salt R. @ Val Vista Dr.            Mesa               39500   1260      0.00       0.00     Southeast Valley      Val Vista Dr. at Salt River
Signal Butte FRS                   Mesa               79500   1710      0.00       0.00     Superstition          1/4 mi. NE of Signal Butte Rd. & Brown Rd.                 
Siphon Draw @ Signal Butte Rd.     Mesa               37600   1465      0.00       0.00     Southeast Valley      0.1 mi. N of Signal Butte Rd. & Elliot Rd.
Spookhill FRS @ Brown Rd.          Mesa               81500   1595      0.00       0.00     Superstition          Brown Rd. at the Hawes Rd. alignment
Spookhill FRS @ McKellips Rd.      Mesa               79800   1590      0.00       0.00     Superstition          McKellips Road at Loop 202
Spookhill FRS                      Mesa               74700   1580      0.00       0.00     Superstition          1/2 mi. N. of McDowell Rd. and Bush Highway                  
Thunder Mountain                   Mesa               81000   2550      0.00       0.00     Superstition          1/2 mi. W. of Ellsworth Rd. and Indian School Rd.            
University Dr. @ 62nd St. Basin    Mesa               34600   1405      0.00       0.00     Southeast Valley      0.2 mi. W of University Dr. & 64th St.
US 60 @ Ellsworth Rd.              Mesa               35800   1470      0.00       0.00     Southeast Valley      0.2 mi. N of US 60 & Ellsworth Rd.
Usery Mountain Park                Mesa               80200   1880      0.00       0.00     Superstition          1/3 mi. East of McDowell Rd. and Crismon Rd.                 
Usery Park WS                      Mesa               80700   2115      0.00       0.00     Superstition          1/4 mi. WNW of the Crismon Rd. and Thomas Rd. alignments     
Val Vista Dr. @ Pueblo Ave.        Mesa               32600   1270      0.00       0.00     Southeast Valley      0.5 mi. S of Broadway Rd. & Val Vista Dr.
Vineyard FRS                       Mesa               37000   1580      0.00       0.00     Superstition          Alignments of Tomahawk Rd. and Williams Field Rd.            
Ellsworth Channel DPC              Mesa               90100   1381      0.00       0.00     Southeast Valley      0.1 mi NW of S Ellsworth Rd @ E Pecos Rd
Skyline Park                       Mesa               90200   1548      0.00       0.00     East Valley           Crimson Rd @ Coralbell Ave
SEWRP                              Mesa               90300   1354      0.00       0.00     East Valley           0.4 mi. NW of Baseline Rd @ Kiowa Ave
Holmes Park                        Mesa               90400   1284      0.00       0.00     East Valley           0.2 mi W of Holmes Ave. @ Greenfield Rd.
Harmony Park                       Mesa               90500   1249      0.00       0.00     East Valley           0.3 mi WSW of Harmony Ave @ 32nd St.
Broadway Rec Center                Mesa               90900   1235      0.00       0.00     East Valley           Broadway Rd @ Lewis
Rancho Del Mar Park                Mesa               91000   1209      0.00       0.00     East Valley           1/4 mil NNW of Gualupe Rd @ Cherry
Grand @ McClellan                  Mesa               91300   1216      0.00       0.00     East Valley           Grand @ McLellan
Mobile                             Mobile             84700   1340      0.00       0.00     Rainbow Valley        2 miles SE of Mobile                                         
Circle City                        Morristown         73500   1890      0.00       0.00     Northwest Valley      Along US 60/93, 14 mi. SE of Wickenburg                      
Daggs Wash                         Morristown         48500   1680      0.00       0.00     None                  9.5 miles SW of Circle City	
Morristown                         Morristown         45200   1980      0.00       0.00     Northwest Valley      US 60/93 at Morristown, 10 mi. SE of Wickenburg              
Upper Trilby Wash                  Morristown         73800   3230      0.00       0.00     None                  On Trilby Wash, 2.2 miles N of Castle Hot Springs Road       
San Domingo Wash                   Morristown         45300   2270      0.00       0.00     None                  4.1 mi. NNW of Morristown
Cline Creek                        New River          66000   2170      0.00       0.00     New River/Cave Creek  4 miles SE of New River                                      
Cooks Mesa                         New River          63000   4570      0.00       0.00     New River/Cave Creek  10 mi. E of Black Canyon City in the New River Mtns.         
Fig Springs                        New River          65500   2390      0.00       0.00     New River/Cave Creek  3.5 miles east of New River                                  
New River Fire                     New River          62700   2485      0.00       0.00     New River/Cave Creek  4 miles SE of New River                                      
Skunk Cr. near New River           New River          66200   2185      0.00       0.00     New River/Cave Creek  Skunk Cr. At Fig Springs Rd., 3.5 mi. E of New River         
Sunup Ranch                        New River          62300   1910      0.00       0.00     New River/Cave Creek  1 mi. SSW of New River                                       
Upper Cline Creek                  New River          65300   2520      0.00       0.00     New River/Cave Creek  8 miles east of New River                                    
Gila R. @ Olberg                   Olberg             42000   1305      0.00       0.00     None                  Gila River at Olberg Bridge, 3 mi. ENE of Sacaton            
ACDC @ 36th St.                    Paradise Valley    10000   1250      0.00       0.00     South Phoenix         1/2 mi. North of 36th St. and Camelback Rd.                  
Berneil Wash                       Paradise Valley    59200   1325      0.00       0.00     South Scottsdale      Just east of Doubletree and Invergordon                      
Paradise Valley Country Club       Paradise Valley    9300    1360      0.00       0.00     South Scottsdale      1/2 mi. North of Lincoln Dr. and Tatum Blvd.                 
Columbia Hill                      Peoria             15800   2370      0.00       0.00     None                  5 mi. NNW of Castle Hot Springs                              
El Mirage Drain                    Peoria             14500   1265      0.00       0.00     Northwest Valley      1/2 mile S of Pinnacle Peak and El Mirage Roads
Garfias Mountain                   Peoria             15500   2635      0.00       0.00     None                  6 mi. WSW of Castle Hot Springs                              
Grand Ave. @ Peoria Ave.           Peoria             7500    1140      0.00       0.00     West Valley           Intersection of Grand Ave. and Peoria Ave.                   
Lake Pleasant                      Peoria             15000   1820      0.00       0.00     None                  On New Waddell Dam at Lake Pleasant                          
Lake Pleasant North                Peoria             15300   1750      0.00       0.00     None                  On Deer Island, north end of Lake Pleasant                   
Morgan City Wash                   Peoria             15400   2560      0.00       0.00     None                  6.5 mi. N of SR74, northwest of Lake Pleasant
New River @ Bell Rd.               Peoria             61700   1205      0.00       0.00     West Valley           Bell Rd. at 83rd Ave.                                        
New River @ Loop 303               Peoria             62200   1495      0.00       0.00     Northwest Valley      Loop 303 1.3 mi. E of Lake Pleasant Pkwy.
New River Dam                      Peoria             62000   1485      0.00       0.00     Northwest Valley      1/2 mi. NE of Jomax Rd. and 83rd Ave.                        
Picacho Wash                       Peoria             74200   1975      0.00       0.00     Northwest Valley      SR 74 at Cotton Lane alignment
Twin Buttes Wash                   Peoria             73200   1360      0.00       0.00     Northwest Valley      1/4 mi. SE of Vistancia Blvd. & El Mirage Rd.
Vistancia Peak                     Peoria             73400   1780      0.00       0.00     Northwest Valley      5.3 miles SW of Lake Pleasant
10th St. Wash Basin #1             Phoenix            11000   1320      0.00       0.00     North Phoenix         1/4 mi. SW of Peoria Ave. and Cave Creek Rd.
ACDC @ 14th St.                    Phoenix            10500   1230      0.00       0.00     North Phoenix         1/2 mi. North of Glendale Ave. and 14th St.                  
